Entry no,corona_GMA,corona_MPC,corona_AcETMAC,corona_MAA,corona_DMA,corona_PEG,corona_CysMA,corona_GluMA,corona_DMAPS,corona_AEMA,corona_QDMAEMA,corona_HPMAm,corona_KSPMA,corona_MAcEPyr,corona_DSDMA,clogp_corona,mon_corona_mw,mon_corona_apol,mon_corona_mv,mon_corona_psa,dp_corona,corona_mw_total,corona_mv_total,core_BzMA,core_DAAM,core_EGEMA,core_GlyMA,core_HBMA,core_HEMA,core_HPMA,core_MEMA,core_PhA,core_TFMA,core_EGDMA,core_cyclic,clogp_core,mon_core_mw,mon_core_apol,mon_core_mv,mon_core_psa,dp_core,core_mw_total,core_mv_total,ratio_mass,ratio_vol,conc,ph,salt,charged,temp,initiator,sphere,worm,vesicle,other,cophases
37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,220,31696.5,260.7,0.232543274,0.222538336,15,7,0,1,70,ACVA,0,1,1,0,1
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,250,36018.75,296.25,0.210512472,0.201206885,15,7,0,1,70,ACVA,0,0,1,0,0
39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,300,43222.5,355.5,0.181805791,0.173490312,15,7,0,1,70,ACVA,0,0,1,0,0
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,80,11526,94.8,0.454524803,0.440450473,20,7,0,1,70,ACVA,1,0,0,0,0
41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,100,14407.5,118.5,0.39998001,0.386398235,20,7,0,1,70,ACVA,1,1,0,0,1
42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,120,17289,142.2,0.357123734,0.344162493,20,7,0,1,70,ACVA,0,1,0,0,0
43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,140,20170.5,165.9,0.322562444,0.310250206,20,7,0,1,70,ACVA,0,1,0,0,0
44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,160,23052,189.6,0.294100355,0.2824216,20,7,0,1,70,ACVA,0,1,0,0,0
45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,180,25933.5,213.3,0.270253843,0.25917436,20,7,0,1,70,ACVA,0,1,1,0,1
46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,200,28815,237,0.249984383,0.239463196,20,7,0,1,70,ACVA,0,1,1,0,1
47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,220,31696.5,260.7,0.232543274,0.222538336,20,7,0,1,70,ACVA,0,1,1,0,1
48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,250,36018.75,296.25,0.210512472,0.201206885,20,7,0,1,70,ACVA,0,0,1,0,0
